NAME	hepatocyte	hepatic_stellate_sinusoid	kupffer	NK	plasmacytoid_dendritic_cell	b_cell	myeloid_leukocyte
A130010J15Rik	1	1	1	1	1	692.473308477705	1
A1bg	1181.25752684216	1	1	1	1	937.152551587077	1
A1cf	769.053314235845	1	1	1	1	1	1
A330009N23Rik	1	3017.31637599726	1	1	1	1	1
A430035B10Rik	1	1	1	1	2486.39167690036	1643.58277550018	1
A430088P11Rik	1	1	1	5502.76864721825	1	1	1
A430105I19Rik	1	1711.59180122024	1	1	1	1	1
A530032D15Rik	1	1	1	1	76.5456586419198	1736.50619217012	1
A530054K11Rik	1	1	1	1	270.660168968089	1	1
A530099J19Rik	1	1	1	1	1	1	13410.1827320821
A630001G21Rik	1	1	1	1	1	548.816887401962	1
A630072M18Rik	1	1	1	1	159.689589358583	1	1
A830082K12Rik	1	1774.26132650145	1	1	1	1	1
A930013F10Rik	1	1	1	1	126.091047607359	1	1
AA960436	1	1	1	1	1	1	152.985487100721
AF251705	1	1	662.84470533175	1	60.0000042826107	1	513.185001297226
AI182371	2830.73266075934	1	1	1	352.156902777292	1	1
AI504432	1	1	1	575.6995382552	1	1	1
AU021092	1	299.516044371888	1	1	1	1	1
Aak1	1	1	1	361.850587691066	1	1	1
Aard	1	1193.3238701715	1	1	1	1	1
Aatk	1	1	997.476970558682	1	1	1	1
Abca1	45.0976470755443	1	305.684457500848	1	1	1	1
Abca5	1	1	1	1	1110.41937208902	1	1
Abca9	1	1	542.104770449138	1	1	1	1
Abcb11	5731.72355924523	1	1	1	1	1	1
Abcb4	1623.29032495073	1	1	1	1	1	1
Abcb9	1	1	1	5650.44245530024	1	1	1
Abcc2	492.514053128828	1	1	1	1	1	1
Abcc3	199.767536625665	1	2537.85049340841	1	1	1	1
Abcc5	1	1	101.252519329048	1	1	1	1
Abcc6	2052.59160273084	1	1	1	1	1	1
Abcc9	1	2029.38934520075	1	1	1	1	1
Abcd1	1	1	1	1	498.757125280704	1	507.130923734853
Abcg3	1	1	3309.62216404804	1	1	1	2067.7704167882
Abcg5	2689.82707454903	1	1	1	1	1	1
Abcg8	3925.03341154928	1	1	1	1	1	1
Abhd12	1	1	211.508712730177	1	1	1	161.632922951722
Abhd15	138.038530825789	1	1	1	1315.46043743343	1	1168.98592178586
Abhd8	1	1	1	280.522641716945	1	1	1
Abi2	1	391.418955667739	1	1	1	1	1
Acaa1b	673.316425360282	1	1	1	1	1	1
Acaca	733.798400728459	1	1	1	1	1	1
Acat3	3009.53348802012	1	1	1	1	1	1
Acbd4	1	1	1	1	1	144.828108857653	1
Acer2	1	935.403676184242	1	1	1	1	1
Acnat1	994.432080043746	1	1	1	1	1	1
Acot12	941.08792875595	1	1	1	1	1	1
Acot3	938.629070993421	1	1	1	1	1	1
Acot7	1	1	1	393.834892575314	1	1	101.996467182682
Acox2	2002.95457158754	1	1	1	1	1	1
Acox3	1	1	1	1	1	1	151.785942588464
Acp2	1	159.119241237483	1468.43810639656	1	1	1	430.148830687129
Acsm1	1319.25045515869	1	1	1	1	1	1
Acsm5	1179.71282504822	1	1	1	1	1	1
Acss1	1	1	1	1	1	281.179815113282	1
Actn1	1	1	210.175972523198	1	1	1	54.7614257524906
Actn2	1	1	1	2229.19064734906	1	1	1
Adam11	1	1	1	1	15280.7172491987	1	1
Adam23	1	6234.94709434703	1	1	1	1	1
Adam8	1	1	1	1	1	1	201.184635912207
Adamdec1	1	1	7630.13140675436	1	1	1	1
Adap1	1	1	349.845181593973	1	1	1	526.908784457804
Adap2	1	1	1587.82522310925	1	1950.97545161713	1	469.377608644028
Adarb1	1	734.963972340452	1	1	1	1	1
Adcy4	1	183.591256327109	234.392364308297	1	1	1	1
Adh1	481.544498662995	1	1	1	1	1	1
Adh4	1506.27918142239	1	1	1	1	1	1
Adh6.ps1	793.876774345369	1	1	1	1	1	1
Ado	1	1	1	1	1	1	130.679276719573
Adora1	745.572342697156	1	1	1	1	1	1
Adora2a	1	421.256240892252	1	558.671640170342	1	1	1
Adra1b	958.868283150898	1	1	1	1	1	1
Adrb1	1	1	2902.67400183332	1	1	1	1
Adrbk2	1	1	87.319480984056	1	60.5857488654058	1	1154.73091714845
Adsl	1	1	1	1	65.2487730475037	264.165136999705	1
Aff3	1	1	1	1	56.5688456504282	711.758727806116	1
Afg3l2	17.577432015713	1	1	1	1	274.68947572599	1
Afm	1796.80529222786	1	1	1	1	1	1
Agfg2	1	353.864945484615	1	1	1	1	1
Agmat	2383.06298330748	1	1	1	1	1	1
Agt	3076.24711821111	1	255.3541611966	1	1	1	1
Agtr1a	92.265934370447	1020.98839052032	1	1	1	1	1
Agxt	1624.08365091851	1	1	1	1	1	1
Agxt2l1	3409.17337975588	1	1	1	1	1	1
Aif1	1	120.064041662768	1438.07828565	1	1	1	1058.58070434264
Aim1	1	1	1	283.976773038521	1	1	155.908865113665
Ak4	823.614190051629	1	1	1	1	1	1
Ak8	1	1	1	1	3079.91268651434	1	1
Akr1b10	1	1	419.477328674841	1	1	1	1
Akr1c12	553.732654770376	1	1	1	1	1	1
Akr1c14	1668.77269134296	1	1	1	1	1	1
Akr1c19	626.455973801479	1	1	1	1	1	1
Akr1c20	855.324457469927	1	1	1	1	1	1
Akr1c6	4188.89956357491	399.561814668567	1	1	1	1275.3844154973	1
Akr1d1	2538.03803403944	1	1	1	1	1	1
Akr1e1	1	1	115.761576254893	1	1	1	1
Akt3	1	1	1	1	262.303137381375	1	1
Alas2	1	1	1	1	1	1414.81825468062	1
Aldh1a7	1207.76960942546	1	1	1	1	1	1
Aldh1l1	735.427779169976	1	1	1	1	1	1
Alg2	1	1	1	1	116.446267229857	1	1
Alkbh2	1	1	1	1	209.86562971864	1	1
Alkbh4	1	1	1	443.801766079238	1	1	1
Alox12	1	2292.96023618408	1	1	1	1	1
Amdhd1	3702.72529670681	1	1	1	1	1	1
Amica1	1	1	1	350.918034488718	2419.37044391405	1	420.924312193155
Amigo2	1	740.675407904111	1	1	1	1	1
Amy1	1415.69472862223	1	1	1	1	1	1
Amz1	1	1	578.145126258417	1	1	1	1721.39193158841
Amz2	1	1	1	1	1	1	144.154322876947
Anapc2	1	1	1	1	1	158.99865554705	1
Angptl6	1	3027.57725845706	1	1	1	1	1
Angptl7	1	1	1	1	218.676617135312	1	1
Ankib1	1	1	1	1	135.646585869115	1	1
Ankrd27	1	1	1	1	207.291643093088	1	1
Ankrd37	1	1	1	1	1	391.453789538612	1
Anks4b	471.761256304097	1	1	1	1	1	1
Ano6	1	1	221.385866039463	1	1	1	1
Anpep	23.1444807654344	1	1	1	1	1	191.299994655035
Aoah	1	1	591.629207641765	1	1	1	1
Aox1	1930.10195624191	1	1	1	1	1	1
Ap1ar	1	1	1	1	103.677837531638	1	1
