NAME	hepatocyte	hepatic_stellate_sinusoid	kupffer	NK	plasmacytoid_dendritic_cell	b_cell	myeloid_leukocyte
Ap1g2	1	1	1	345.499336453934	1	1	1
Apaf1	1	1	1	1	1	1	132.366430204521
Apcs	4386.34884539715	1	1929.15867877759	1	1	1	1
Apoa4	3502.61765215883	1	1	1	1	1	1
Apob	2348.28428715255	1	126.406713372748	1	1	1	1
Apobr	1	1	96.5961456276442	1	1	1	251.848142410485
Apol7a	1703.60797496452	1	1	1	1	1	1
Apol7e	1	1	1	4383.50444189441	1	1	1
Apol9a	668.952774770795	1	1	1	1	1	1
Apol9b	722.376654288361	1	1	1	1	1	1
Apom	865.828698808573	1	1	1	1	1	1
Apon	2248.17735737073	1	1	1	1	1	1
Appl1	1	1	1	107.083608494725	1	1	1
Aqp1	1	335.185152374229	1	1	1	1	1
Aqp9	1099.32455912044	1	1	1406.74692484614	1	1	1
Arap3	1	659.545803021281	1	1	1	1	1
Arg1	2771.27151850782	1	1	1	1	5214.16967297322	1
Arhgap12	1	1	213.791371640485	1	1	1	1
Arhgap18	1	1	1	1	1	1	125.688663504905
Arhgap19	1	1	1982.69863493821	1	1	1	1
Arhgap22	1	1	1	1	1	1	979.348027791301
Arhgap23	1	1476.2255713065	1	1	1	1	1
Arhgap27	1	1	1	1	346.549925159258	1	185.294808752175
Arhgef15	1	755.307360927985	1	1	1	1	1
Arhgef3	1	1	1	135.194866939272	1	1	1
Arid3a	1	1	1	1	185.045845847737	1	1
Arid3b	1	1	1	1	186.768389918778	1	1
Arl11	1	1	1	1	1	1	337.307835957005
Arl15	1	383.032624299484	1	1	1	1	1
Arl5c	1	1	1	1	93.702852325459	1	314.140562487128
Armc10	1	1	1	140.60489265684	1	1	1
Armc3	1	1	1	1	187.268353353	1	1
Armc7	1	1	1	588.89149311387	1	1	1
Armc8	1	1	163.984962806915	1	1	1	1
Armcx1	1	1511.20217202358	1	1	1	1	1
Armcx4	1	2860.0309398506	1	1	1	1	1
Armcx6	1	2088.92114565718	1	1	1101.1874186327	1	1
Arrdc3	1	1	92.1265003235056	1	1	1	1
Arrdc4	1	1	1	1	1	1	126.630972502482
Art2a.ps	1	1	1	8596.8724314093	1	1	1
Arvcf	1	1439.72937771533	1	1	1	1	1
Asah2	1	1356.89579666262	1	1	1	1	1
Asb2	1	1	470.403008197907	2864.94331062148	1	1	1047.00517753207
Ascc3	1	1	1	1	1	178.019509511333	1
Asgr1	6045.15270474429	1	240.445365241064	1	1	1	1
Asgr2	4644.23213848209	1	1	1	1	1	1
Aspdh	613.442235295905	1	1	1	1	1	1
Aspg	2634.37192611376	1	1	1	1	1	1
Asrgl1	1	1	1	1	1	221.319988066835	1
Athl1	1	300.190273948695	1	1	1	1	1
Atm	1	1	1	1	1	288.933165659309	1
Atmin	1	1	1	1	1	1	185.652294216246
Atp1a3	1	1	1	1	1	1	688.344621941888
Atp1b1	1	1	1	1	149.787766139642	1	1
Atp2a1	1	1	1	1	13125.9114672376	1	1
Atp5sl	1	1	1	1	78.1911093620529	306.769002009095	1
Atp8b4	1	1	1	584.836449364584	1	1	122.44286343319
Atxn1l	1	367.599065532639	1	1	1	1	1
Auh	1	1	1	1	1	145.489678790171	1
Axl	1	1	394.60243249265	1	1	1	168.955020035628
Azgp1	2798.15910954596	131.854756388364	153.065471337154	1	1	1	1
B230206F22Rik	1	1	1	1	774.055465583613	1	1
B230378P21Rik	1	1	3129.73068771414	1	1	1	1
B3galnt1	1	1	543.387074237632	1	1	1	1
B3galt1	521.841017275095	1	1	1	1	1	1
B3gnt3	1	1548.34060728611	1	1	1	1	1
B3gnt5	1	1	1	1	1	2157.08277757545	1
B3gnt8	1	1	1	1	171.921688063653	1	1
B430306N03Rik	1	1	837.169446799204	1	1	1	1
B4galt6	1	1	379.571767183071	1	1	1	1
B9d2	1	1	1	1	1	1	108.571785889217
BC006779	1	1	266.416630581565	1	1	1	1
BC016495	1	1	1	1	357.602288388336	1	1
BC017647	1	335.701663625871	1	1	1	1	1
BC020535	1	772.658367924003	1	1	1	1	1
BC021614	81.0110683936374	1	1	650.775410597551	1	1	1
BC023829	1	1	1	1	1635.50446567855	1	1
BC024386	1031.61317424438	1	1	1	1	1	1
BC024582	1	1	6649.59833529173	1	1	1	1
BC024659	31.6647753908815	1	183.919791982019	1	1	1	1
BC028528	1	1	1	1	1	1	321.857977949538
BC029214	1	1	1	120.406204148444	1	1	1
BC030307	1	1	1	1	5423.7193372795	1	1
BC031353	1	1	1	1	1	6162.1776425563	1
BC033916	1	1	2924.58148522755	1	847.088885331343	1	1
BC046331	1	1	1	1	399.969481773711	1	1
BC048546	1552.83992207384	1	1	1	1	1	1
BC049352	1	1	3276.58268936625	1	1	1	1
BC064078	1	1	1	1	1	174.609536993725	1
BC147527	1	1	1	731.316185775201	4468.27651399537	1	590.31467986127
Baat	4411.64809273488	1	1	1	1	1	1
Bace2	1	777.529549468591	1	1	1	1	1
Baiap3	1	1	1	3164.07796725063	1	1	1
Bank1	1	1	83.14732359787	1	1	454.163258618747	1
Banp	1	1	1	1	227.249908321301	1	1
Batf2	1	1	1	1	1	1	2121.61430806842
Batf3	1	1	2132.95364721903	1	1	1	3497.45006735856
Bbc3	1	1	1	1	1	1	163.436574098966
Bbox1	1464.62513038043	1	1	1	1	1	1
Bcar1	1	462.686047431543	1	1	1	1	1
Bcar3	1	1	1	1	1	202.340620250248	1
Bche	1267.80785035192	1	1	1	1	1	1
Bckdk	1	1	1	1	48.7802910000647	222.73788114075	1
Bcl11a	1	1	1	1	517.369639166666	124.775951790898	1
Bcl11b	1	1	1	380.947005633008	1	1	1
Bcl2	1	1	1	608.626402746592	1	181.342801169992	1
Bcl2a1a	1	1	357.447694354086	1	1	1	2349.60515946962
Bcl2a1c	1	1	1	1	1	1	4889.69871273787
Bcl2a1d	1	1	1	270.138275617548	1	1	803.776393301509
Bcl2l11	1	1	1	175.282048942771	1	1	1
Bcl2l14	1	1	1	1	1	1	3956.45536324122
Bcl6	1	1	1	1	1	1	201.789243678012
Bco2	1	1	2160.44405077237	1	1	1	1
Bend5	1	1	1	1	1	633.002288422618	1
Bet1l	1	1	1	1	1	163.849290197693	1
Beta.s	1	1	1	31.2739848170364	18.4007428654451	772.236224754728	83.0092014219933
Bhlha15	1	1	1	1	1	4379.07540067482	1
Bhlhe41	1	1	1	1	1	4577.08127778378	1
Bhmt	1376.20797082587	1	1	1	1	5436.31478007297	181.018613239228
Bhmt2	1248.62586871978	1	1	1	1	1	1
Bik	1	1917.15087136176	1	1	1	1	1
Blk	1	1	1	1	1	291.070555477439	1
Blnk	1	1	1	1	163.068064188301	384.583239433089	1
Bmi1	1	1	1	1	1	392.426216405854	1
Bmp2	1	4205.99956686924	1	1	1	1	1
Bmp2k	1	1	1	1	127.007140354064	1	1
Bpgm	1	1	1	1	1	2399.14164042946	1
Brcc3	1	1	1	1	1	152.526321786895	1
Bre	1	1	1	1	105.690104486429	1	1
Brms1l	1	1	1	1	225.776448683983	1	1
Btbd11	1	1	1471.8533874141	3349.41420893161	1	1	1
Btbd9	1	1	1	1	1	1	111.069624292038
Btla	1	1	1	1	1	755.949743555031	217.241842404639
Btnl9	1	2110.2394071386	1	1	1	1	1
Bzw2	1	1	1	183.87131996003	40.6133854764705	1	1
C030048B08Rik	1	1	1	1	137.174567401305	1	1
C130022K22Rik	1	1	1	1	1	122.45261241971	1
C130026I21Rik	1	1	1	1	1	1288.87917391464	1
C130050O18Rik	1	1	898.066952657796	1	1	1	1716.28100836874
C1qtnf1	1	2570.78541776242	1	1	1	1	1
C1qtnf6	1	718.055492182538	1	1	1	1	1
C2	50.3896297889419	1	303.928465658815	1	1	1	1
C230081A13Rik	1	825.270377433131	1	209.207088860879	1	1	1
C2cd3	1	1	1	1	1	1	250.87974368026
C3ar1	1	1	672.389839596994	1	1	1	310.691888607397
C4bp	5240.14849860299	1	1	1	1	1	1
C530028O21Rik	1	1	1	1	1	1	4160.98919531747
C5ar1	1	1	103.069676233228	1	1	1	1
C6	1	1967.83714479336	20411.0176772779	1	1	1	1
C730027H18Rik	1325.17923947026	1	1	1	1	1	1
C8a	1997.53735850353	1	1	1	1	1	1
C8b	2001.36024020506	1	1	1	1	1	1
C9	1359.35483615506	1	1	1	1	1	1
Cab39l	1	1	1	1	1	179.791191109272	1
Cacna1e	1	1	1	1	3040.18806571776	1	1
Cacna1f	1	1	3975.48851944296	1	1	1	1
Cacna1h	1	1	1	1	1	6727.61653963167	1
Cacna1s	1	1	1	1	1	2916.30528655503	1553.55446825957
Cadm1	1	1	561.94587082852	1	1	1	521.984913645112
Calcoco1	1	1	1	1	144.625863252635	1	1
Calcrl	1	292.022190938718	1	1	1	1	1
Camk1d	1	1	222.914621655655	1	1	1	482.642259149056
Camk2g	1	1	1	207.479099438272	1	1	1
Camk4	1	1	1	844.330082467129	1	1	1
Camkk2	1	1	1	1	1	1	201.973004083696
Car5a	1200.94386473462	1	1	1	1	1	1
Car8	33.4856773553893	770.618460673696	1	1	1	1	1
Card11	1	1	1	360.143716855999	813.493860769284	1	1
Cars	41.3527400025768	1	1	1	1	624.623442436098	1
Caskin2	1	515.14023604589	1	1	1	1	1
Cbs	984.719353610164	1	1	1	1	1	1
Cbx5	1	1	1	1	1	155.472660471859	1
Cbx7	1	1	1	1	1	383.623722517716	1
Ccbl2	1329.10997615161	1	1	1	1	1	1
Ccbp2	1	1734.38888238775	1	1	1	1	1
Ccdc101	1	1	1	129.802224912894	1	1	1
Ccdc106	1	1	5254.63734660664	1	1	1	1
Ccdc109b	1	1	1	1	1	1	233.367433585919
Ccdc117	1	1	1	1	1	224.595620176917	1
Ccdc136	1	1	1	4628.99891830985	1	1	1
Ccdc148	1	1	7216.07262257854	1	1	1	1
Ccdc162	1	1	1	1	10895.9108724544	1	1
Ccdc22	1	1	100.682844704477	1	1	1	1
Ccdc25	1	1	1	107.360704465819	1	1	1
Ccdc6	1	1	1	1	1	240.676243453388	1
Ccdc82	1	1	1	1	1	221.54577850041	1
Ccdc88c	1	1	1	1	1	2650.40324833271	1
Ccdc94	1	1	1	1	139.089897059047	1	1
Ccl24	1	547.619148388998	11976.6661417561	1	1	1	350.764172893607
Ccl3	1	1	1	1	1	1	230.585882193301
Ccl5	1	1	1	1008.56712018463	1	57.1548679380288	110.161741179914
Ccl6	1	1	252.079203478536	1	1	1	219.830763295479
Ccl9	1	1	1	1	1	1	251.849210369841
Ccnk	1	1	1	1	1	117.742451901445	1
Ccpg1	1	1	1	1	50.9513130028778	163.880601229075	1
Ccr2	1	1	1	131.214620255535	50.822591916006	1	512.130376584065
Ccr7	1	1	1	1	1	530.132847379768	1
Ccr9	1	1	1	1	11123.9322721367	1	1
Ccrl1	1	1168.34904032676	1	1	1	1	1
Ccrl2	1	1	1	1	1	1	1164.65282559103
Cd160	1	1	1	20954.7847255656	1	1	1
Cd163	1	1	9701.79657664534	1	1	1	1
Cd180	1	1	1	1	1570.69513500945	1	1
Cd19	1	1	1	1	1	572.379641240327	1
Cd2	1	1	1	284.895437165421	1	332.035076814257	1
Cd200r1	1	1	1	1	795.1486021609	1	1
Cd200r4	1	1	1	4398.38618445125	1	1	1
Cd207	1	1	5803.13866369537	1	1	1	1189.70328180072
Cd209a	1	1	1	1	633.339602393765	1	4308.27938693075
Cd209d	1	1	1	1	9040.10873823946	1	1
Cd209f	1	1	3375.64113314285	1	1	1	1
Cd209g	1	1	1793.81113518992	1	1	1	1
Cd22	1	1	1	1	1	440.769753624579	1
Cd226	1	1	1	11524.6460841527	1	1	1
Cd244	1	1	1	2236.59153324647	1	1	920.338679051475
Cd247	1	1	1	484.994683906502	1	1	1
Cd24a	1	1	1	1	1	245.516884763708	40.5248035812778
Cd27	1	1	1	418.51016047289	1	1	1
Cd28	1	1	1	474.346786720371	1	1	1
Cd300a	1	1	363.932005069363	1	34.8432807588591	1	687.102289944817
Cd300c	1	1	1	1	27993.3525323436	1	1
Cd300e	1	1	3459.26709939392	1	1	1	1501.59106827708
Cd300lb	1	1	203.452812379936	1	1	1	264.02319141388
Cd300ld	1	1	2227.36389063767	1	1	1	909.385827617185
Cd300lg	1	487.200434862185	1	1	1	1	1
Cd33	1	1	1	1	615.264237994133	1	1
Cd3d	1	1	1	596.063629202608	1	1	1
Cd3e	1	1	1	822.975391765778	1	1	1
Cd3g	1	1	1	864.069066259291	1	1	1
Cd4	1	1	1	507.525633273294	2836.81367777334	1	1
Cd40	1	1	1	1	1	1	375.920353206448
Cd40lg	1	1	1	7045.57387332645	1	1	1
Cd5	1	1	1	555.038412096362	1	1	1
Cd55	1	430.839247423262	1	1	1	296.132158989069	1
Cd59a	1	1198.91374305309	1	1	1	1	1
Cd5l	1	2958.16913052556	36318.4041207714	325.360207589707	122.988715842738	450.406835645997	2311.812050256
Cd6	1	1	1	1068.09632967985	1	1	1
Cd69	1	1	1	1173.48629127994	122.604973904678	1789.02092094063	1
Cd7	1	1	1	5678.24829473323	1259.03748823639	1	327.38522614698
Cd79a	1	1	1	1	1	431.942622867353	1
Cd79b	1	1	1	1	1	451.079626428792	1
Cd83	1	1	1	1	1	240.697357894235	229.394218134033
Cd8a	1	1	1	689.435044804924	132.668706280051	1	1
Cd8b1	1	1	1	436.429945576056	284.424461436683	1	1
Cd96	1	1	1	2170.84657662138	1	1	1
Cdc14a	1	1	1	1	1	1	141.346051414816
Cdc14b	75.9100463807564	1	1	1	189.020916884938	1	1
Cdc25b	1	1	1	1	1	234.318069167822	1
Cdc42ep1	1	323.664045921762	1	1	1	1	1
Cdc42ep2	1	684.087103939167	1	1	1	1	1
Cdca4	1	1	1	162.098263220533	1	1	1
Cdca7l	1	1	1	337.320612007419	1	1	1
Cdk14	1	1	1	1	1	1	297.473417973228
Cdkn2aipnl	1	1	1	110.417709781824	1	1	1
Cdo1	802.2195332731	1	1	1	1	1	1
Cdr2l	1	755.516150481828	1	1	1	1	1
Cdyl2	1	1	1	567.712636983538	108.172152546107	1	1
Cecr5	1	1	1	1796.70610866686	1	1	1
Cela1	1	1	211.554881463938	1	1	1	1
Cenpv	36.9759446830839	1	227.542347959136	1	1	1	1
Cep170	1	1	1	1	1	1	124.617725206727
Cep290	1	1	1	1	98.9795040118317	1	1
Cep350	1	1	1	1	1	237.200472338653	230.883736851925
Cep70	1	1	1	1	213.044754465905	1	1
Cerk	1	1	85.4539962485032	1	1	256.633947275531	1
Ces1b	615.751551944557	1	1	1	1	1	1
Ces1e	1348.04725998603	1	1	1	1	1	1
Ces1g	2786.48220441846	1	1	1	1	1	1
Ces2a	1129.09293674388	1	1	1	1	1	1
Ces3a	3917.22095704684	1	686.428954685153	1	207.927735016105	1	1
Ces3b	1756.81218695606	1	1	1	1	1	1
Cfhr1	2962.7900806393	1	1	1	1	1	1
Cfhr2	4683.24343856467	1	296.922383960964	1	1	1	1
Cfi	4313.62194016498	1	410.477990735886	1	1	1	1
Cfp	1	80.0643797077626	1109.97119747504	1	52.8135448394524	1	315.282793167597
Chchd8	1	1	1	1	1	1	276.40327974942
Chd6	1	1	1	1	1	184.170875130078	1
Chd7	1	1	1	109.333510838063	1	1	1
Chdh	200.505834145898	1	1	1	531.008028614861	1	1
Chid1	1	1	1	1	1	315.906734080995	1
Chn2	36.7665290666347	1	1	929.789755844858	1	1	1
Chpf2	1	1	1	1	1	414.192561681392	115.008287786753
Chst1	1	1	1	1	1	5501.34153410401	1
Chst14	1	1472.23457924704	1	1	1	1	1
Chst15	1	2827.02564251546	1	1	1	1	1
Chst2	1	2535.50932640558	1	1453.96755182459	1	1	1
Chst7	1	2052.31758739983	1	1	1	1	1
Chsy1	1	1	1	497.357057932435	1	1	1
Ciapin1	1	1	1	118.306468289656	1	1	1
Cish	1	1	1	224.731808653261	1	1	1
Cited4	1	1	1	1114.00995199672	1	1	1
Ckap4	1	60.6628283258347	1	1	1	204.693226766698	1
Clasp2	1	1	265.661275527294	1	1	1	1
Clca1	1	3381.14891778743	1	1	1	1	1
Clcn7	1	1	331.831481154178	1	1	1	1
Cldn14	1320.99078580424	1	1	1	1	1	1
Clec10a	1	1	1	1	1575.72520620485	1	154.945815812546
Clec14a	1	766.44974415129	1	1	1	1	1
Clec1b	1	3043.97736500768	14430.1826381822	1	1	1	378.832064029898
Clec2g	1	1	1	1	1	7360.57991602502	1
Clec2i	1	1	1	340.820762072904	1	399.931028623511	1
Clec4a1	1	1	221.347775223419	1	1	1	530.867695245657
Clec4a3	1	1	195.959978736646	1	1	1	514.079926891808
Clec4b1	1	1	1	1	1	1	1318.64706637926
Clec4e	1	1	1	1	1	1	361.840139928363
Clec4f	1	2466.79794289325	36558.0029342257	501.305183303407	216.460925536053	530.299339082093	2332.30947773647
Clec4n	1	1	1020.42790214077	1	1	1	524.207858438621
Clec7a	1	1	319.448385803347	1	1	1	937.804369606185
Clec9a	1	1	1	1	8948.79056974989	1	16917.9593556507
Cmah	17.8929832166892	1	1	1	171.277084380014	600.342179831787	1
Cmklr1	1	1	489.167061384425	1	1	1	1
Cml2	2708.07024837002	1	1	1	1	1	1
Cmtm8	74.9203813472046	1835.58747974633	1	1	1	1	1
Cnksr3	1	1338.92646449619	1	1	1	1	1
Cnnm4	1	1	1	1	157.302987427493	1	1
Cnr2	1	645.115313086471	1	1	1	1	1
Cnrip1	1	650.034990336862	1	1	1	1	1
Cntfr	1	424.424606064571	1	1	1	1	1
Col13a1	1	5714.32045651082	1	1	1	1	1
Colec10	1	3329.10316583148	1	1	1	1	1
Colec11	1	4013.37906034806	1	1	1	1	1
Commd10	1	1	1	1	1	1	116.119462055759
Coro2b	1	519.56984073084	1	1	1	1	1
Cox6a2	1	1	1	1	11906.98721936	1	1
Cpb2	3599.81455801867	1	1	1	1	1	1
Cpn2	3469.90486812996	1	1	1	1	1	1
Cps1	1321.93278868871	1	1	1	1	1	1
Cpsf1	1	1	1	1	1	390.683259756998	1
Cpsf3l	1	1	1	148.817558697565	1	1	1
Cpsf7	1	1	1	1	1	171.084101155655	1
Crcp	1	1	1	1	1	1	147.074535208995
Creb3l2	1	1	1	1	1	624.08692849479	1
Creb3l3	3005.90529308888	1	1	1	1	1	1
Crebzf	1	1	1	1	238.467802503958	1	1
Crp	3405.52461865969	1	1	1	1	1	1
Crtam	1	1	1	3228.57300012151	1	1	1
Crygn	1	2273.04242586954	1	1	1	1	1
Csad	1133.50739668911	1	1	1	1	1	1
Csf1r	1	1	900.104058681103	1	1	1	343.650835085643
Csf2rb2	1	1	219.552029205369	1	1189.84106681501	1	341.977147144833
Csgalnact2	1	1	1	1	1	1	129.970381995194
Csnk1g3	1	1	1	1	1	322.26418461832	1
Cspp1	1	1	1	1	1	490.134315565904	1
Csprs	1	877.014719792257	1	1	139.942781557492	739.042441192605	1
Csrp2bp	1	1	1	1	1	1	158.219421479251
Cst7	1	1	1	505.290110455651	1	1	1
Cth	1103.16583720168	1	1	1	1	1	1
Ctla2b	1	206.405003314548	1412.41156063502	193.160904992274	1	1	250.056764912478
Ctla4	1	1	1	1	1	2641.0299875323	1
Ctnnd2	1	1	1	1	2058.3870559001	1	1
Ctsf	1	1	115.069355927592	1	1	1	1
Ctsw	1	1	1	2119.12568389088	1	1	1
Cutc	1	1	1	1	1	1	134.516553086298
Cwf19l2	1	1	1	1	87.7742330271388	274.730352427525	1
Cx3cr1	1	1	1	1	1	1	471.233368526359
Cxcl13	1	1	442.870304072314	1	1	1	1
Cxcl9	1	602.59478063322	1	1	1	1	3033.39690250962
Cxcr3	1	1	1	5187.74507127779	403.800907992477	1	217.481157508733
Cxcr5	1	1	1	1	1	240.012874380159	1
Cxcr6	1	1	1	15182.7508464726	1	1	1
Cxx1c	1	158.965571285737	1	1	1	1	796.000338178818
Cxxc5	1	1	1	1	185.524957090375	1	1
Cybasc3	1	1	1	1	2050.52334632898	365.326408905466	103.555823106781
Cyp1a2	3291.65747255839	1	1	1	1	1	1
Cyp26a1	1297.43125936003	1	1	1	1	1	1
Cyp26b1	1	5424.45377093654	1	1	1	1	1
Cyp2a12	3944.39148209193	1	1	1	1	1	1
Cyp2a22	3251.99127543386	1	1	1	1	1	1
Cyp2a4	2084.64298747363	1	1	1	1	1	1
Cyp2a5	3127.216455618	1	1	1	1	1	1
Cyp2b13	1553.3092633815	1	1	1	1	1	1
Cyp2b9	4322.62425298462	1	1	1	1	1	1
Cyp2c29	5595.87938947195	1	1	1	1	1	1
Cyp2c37	4170.84034501997	1	1	1	1	1	1
Cyp2c38	1908.06439162689	1	1	1	1	1	1
Cyp2c40	4245.81424445959	1	1	1	1	1	1
Cyp2c44	774.873540697579	1	1	1	1	1	1
Cyp2c50	4391.12377012542	1	1	1	1	1	1
Cyp2c54	3404.47739799488	1	1	1	1	1	1
Cyp2c67	2796.83760108825	1	1	1	1	1	1
Cyp2c68	4566.70804284303	1	1	1	1	1	1
Cyp2c69	3369.81523203949	1	1	1	1	1	1
Cyp2c70	3193.11747759394	1	1	1	209.186010463238	1	1
